"CASEID_NEW","PPAGECAT","PPAGE","PPEDUCAT","PPEDUC","PPETHM","PPGENDER","PPHOUSEHOLDSIZE","PPINCIMP","PPMARIT","PPREG4","PPRENT","CHILDREN_IN_HH","PPWORK","PPNET","PPPARTYID3","PAPRELIGION","Q4","Q6B","Q7B","Q9","Q10","Q17A","Q21B","Q21D","Q23","Q27","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q31_7","Q31_8","Q31_9","Q32","Q34","HOW_LONG_RELATIONSHIP"
1029571,"(05) 55-64",57,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",3,"(11) $40,000 to $49,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",57,"(10) some college, no degree","(1) once (this is my first marriage)",18,19,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",39
1030441,"(03) 35-44",44,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",3,"(16) $100,000 to $124,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",44,"(09) hs graduate or ged","(1) once (this is my first marriage)",20,21,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",24
1031721,"(06) 65-74",72,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",3,"(12) $50,000 to $59,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(1) republican","(11) other Christian","(2) female","(1) white","(11) other christian",70,"(09) hs graduate or ged","(2) twice",56,57,"(1) i earned more","(2) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",16
1033811,"(07) 75+",81,"(1) less than high school","(08) 12th grade no diploma","(1) white, non-hispanic","(1) male",2,"(13) $60,000 to $74,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",64,"(09) hs graduate or ged","(2) twice",43,45,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",38
1036721,"(06) 65-74",72,"(1) less than high school","(05) 9th grade","(1) white, non-hispanic","(1) male",2,"(14) $75,000 to $84,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(1) republican","(03) Catholic","(2) female","(1) white","(03) catholic",62,"(10) some college, no degree","(2) twice",56,59,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",16
1039481,"(04) 45-54",48,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",3,"(11) $40,000 to $49,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",1,"(1) working - as a paid employee","(0) no","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(09) pentecostal",50,"(07) 11th grade","(2) twice",17,18,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",31
1040361,"(03) 35-44",36,"(4) bachelor's degree or higher","(13) masters degree","(4) hispanic","(2) female",2,"(16) $100,000 to $124,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(13) None","(1) male","(1) white","(05) jewish",32,"(13) master's degree","(1) once (this is my first marriage)",32,34,"(3) partner earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",4
1041291,"(02) 25-34",29,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",2,"(10) $35,000 to $39,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(2) working - self-employed","(1) yes","(3) democrat","(13) None","(1) male","(1) white","(13) none",29,"(13) master's degree","(1) once (this is my first marriage)",24,25,"(3) partner earned more","(1) yes","(1) yes","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",5
1043811,"(07) 75+",81,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",2,"(11) $40,000 to $49,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",77,"(10) some college, no degree","(1) once (this is my first marriage)",21,25,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",60
1044601,"(05) 55-64",60,"(3) some college","(11) associate degree","(1) white, non-hispanic","(1) male",2,"(14) $75,000 to $84,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(0) no","(3) democrat","(11) other Christian","(2) female","(1) white","(11) other christian",60,"(11) associate degree","(1) once (this is my first marriage)",18,19,"(1) i earned more","(2) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",42
1045611,"(05) 55-64",61,"(1) less than high school","(07) 11th grade","(1) white, non-hispanic","(2) female",2,"(08) $25,000 to $29,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(0) no","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",67,"(09) hs graduate or ged","(1) once (this is my first marriage)",16,16,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",45
1046321,"(02) 25-34",32,"(3) some college","(11) associate degree","(4) hispanic","(1) male",3,"(12) $50,000 to $59,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(5) other (please specify)","(03) catholic",36,"(10) some college, no degree","(1) once (this is my first marriage)",21,22,"(1) i earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",11
1061491,"(04) 45-54",49,"(1) less than high school","(06) 10th grade","(1) white, non-hispanic","(2) female",4,"(18) $150,000 to $174,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(2) working - self-employed","(1) yes","(1) republican","(11) other Christian","(1) male","(1) white","(11) other christian",56,"(09) hs graduate or ged","(1) once (this is my first marriage)",16,18,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",33
1062551,"(05) 55-64",55,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(4) hispanic","(2) female",2,"(12) $50,000 to $59,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(1) republican","(03) Catholic","(1) male","(1) white","(03) catholic",53,"(09) hs graduate or ged","(1) once (this is my first marriage)",28,28,"(2) we earned about the same amount","(2) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",27
1074381,"(03) 35-44",38,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",4,"(11) $40,000 to $49,999","(1) married","(4) west","(2) rented for cash",2,"(7) not working - other","(1) yes","(3) democrat","(03) Catholic","(3) other, please specify","(1) white","(13) none",41,"(09) hs graduate or ged","(2) twice",14,34,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(2) good",24
1075832,"(07) 75+",83,"(1) less than high school","(04) 7th or 8th grade","(1) white, non-hispanic","(2) female",3,"(01) less than $5,000","(2) widowed","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(0) no","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",85,"(01) no formal education","(1) once (this is my first marriage)",18,18,"(3) partner earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(3) fair",65
1076291,"(02) 25-34",29,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(1) male",2,"(13) $60,000 to $74,999","(1) married","(3) south","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(1) republican","(11) other Christian","(2) female","(1) white","(13) none",27,"(12) bachelor's degree","(1) once (this is my first marriage)",19,19,"(1) i earned more","(1) yes","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",10
1078631,"(05) 55-64",63,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",2,"(12) $50,000 to $59,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(0) no","(3) democrat","(03) Catholic","(2) female","(1) white","(03) catholic",45,"(09) hs graduate or ged","(3) three times",36,38,"(3) partner earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",27
1080831,"(07) 75+",83,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",2,"(12) $50,000 to $59,999","(1) married","(3) south","(2) rented for cash",0,"(5) not working - retired","(0) no","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",82,"(12) bachelor's degree","(2) twice",28,29,"(3) partner earned more","(2) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",55
1087551,"(05) 55-64",55,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",2,"(15) $85,000 to $99,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(1) male","(1) white","(01) baptist - any denomination",57,"(10) some college, no degree","(1) once (this is my first marriage)",20,21,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",35
1092291,"(02) 25-34",29,"(4) bachelor's degree or higher","(12) bachelors degree","(5) 2+ races, non-hispanic","(2) female",3,"(13) $60,000 to $74,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",1,"(1) working - as a paid employee","(1) yes","(3) democrat","(01) Baptist- any denomination","(1) male","(1) white","(01) baptist - any denomination",30,"(10) some college, no degree","(1) once (this is my first marriage)",22,22,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",7
1093441,"(03) 35-44",44,"(1) less than high school","(08) 12th grade no diploma","(1) white, non-hispanic","(1) male",3,"(08) $25,000 to $29,999","(1) married","(2) midwest","(2) rented for cash",0,"(4) not working - looking for work","(0) no","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",43,"(10) some college, no degree","(1) once (this is my first marriage)",37,39,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",7
1096341,"(02) 25-34",34,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",4,"(12) $50,000 to $59,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",2,"(7) not working - other","(1) yes","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",38,"(11) associate degree","(1) once (this is my first marriage)",24,27,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(6) yes, a different kind of internet service","(1) excellent",10
1097281,"(02) 25-34",28,"(3) some college","(11) associate degree","(1) white, non-hispanic","(2) female",3,"(15) $85,000 to $99,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",1,"(7) not working - other","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",29,"(10) some college, no degree","(1) once (this is my first marriage)",23,25,"(3) partner earned more","(1) yes","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",5
1099651,"(06) 65-74",65,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",2,"(11) $40,000 to $49,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(1) republican","(01) Baptist- any denomination","(2) female","(1) white","(01) baptist - any denomination",62,"(09) hs graduate or ged","(1) once (this is my first marriage)",20,21,"(1) i earned more","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",45
1100361,"(03) 35-44",36,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",4,"(16) $100,000 to $124,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",2,"(4) not working - looking for work","(1) yes","(1) republican","(11) other Christian","(2) female","(1) white","(11) other christian",34,"(14) professional or doctorate degree","(1) once (this is my first marriage)",21,25,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",15
1101471,"(04) 45-54",47,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",4,"(15) $85,000 to $99,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(1) republican","(03) Catholic","(1) male","(1) white","(03) catholic",51,"(11) associate degree","(1) once (this is my first marriage)",18,20,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(2) good",29
1103641,"(05) 55-64",64,"(1) less than high school","(08) 12th grade no diploma","(5) 2+ races, non-hispanic","(2) female",3,"(15) $85,000 to $99,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(3) democrat","(01) Baptist- any denomination","(1) male","(2) black or african american","(01) baptist - any denomination",52,"(09) hs graduate or ged","(3) three times",33,34,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",31
1104541,"(04) 45-54",54,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",2,"(13) $60,000 to $74,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(2) female","(1) white","(03) catholic",52,"(09) hs graduate or ged","(1) once (this is my first marriage)",20,23,"(1) i earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",34
1106521,"(04) 45-54",52,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",3,"(04) $10,000 to $12,499","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(0) no","(3) democrat","(01) Baptist- any denomination","(1) male","(1) white","(01) baptist - any denomination",55,"(08) 12th grade no diploma","(1) once (this is my first marriage)",15,17,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(4) poor",37
1109341,"(02) 25-34",34,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",4,"(11) $40,000 to $49,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",2,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(1) male","(1) white","(03) catholic",36,"(11) associate degree","(1) once (this is my first marriage)",19,23,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",15
1110421,"(03) 35-44",42,"(4) bachelor's degree or higher","(13) masters degree","(1) white, non-hispanic","(1) male",5,"(16) $100,000 to $124,999","(1) married","(4) west","(1) owned or being bought by you or someone in your household",2,"(1) working - as a paid employee","(1) yes","(1) republican","(03) Catholic","(2) female","(1) white","(03) catholic",38,"(12) bachelor's degree","(1) once (this is my first marriage)",20,23,"(2) we earned about the same amount","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",22
1111291,"(02) 25-34",29,"(3) some college","(10) some college, no degree","(3) other, non-hispanic","(2) female",4,"(08) $25,000 to $29,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(4) not working - looking for work","(1) yes","(3) democrat","(03) Catholic","(1) male","(1) white","(03) catholic",41,"(09) hs graduate or ged","(1) once (this is my first marriage)",26,26,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(3) fair",4
1112651,"(06) 65-74",65,"(1) less than high school","(05) 9th grade","(1) white, non-hispanic","(1) male",3,"(08) $25,000 to $29,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",61,"(08) 12th grade no diploma","(1) once (this is my first marriage)",17,22,"(1) i earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",48
1114781,"(07) 75+",78,"(1) less than high school","(03) 5th or 6th grade","(1) white, non-hispanic","(2) female",2,"(16) $100,000 to $124,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(1) yes","(1) republican","(13) None","(1) male","(1) white","(13) none",79,"(12) bachelor's degree","(1) once (this is my first marriage)",34,35,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",44
1115241,"(01) 18-24",24,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",4,"(11) $40,000 to $49,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",1,"(2) working - self-employed","(1) yes","(1) republican","(01) Baptist- any denomination","(1) male","(1) white","(01) baptist - any denomination",27,"(10) some college, no degree","(1) once (this is my first marriage)",18,21,"(3) partner earned more","(2) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",6
1118711,"(06) 65-74",71,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",4,"(07) $20,000 to $24,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(0) no","(1) republican","(01) Baptist- any denomination","(2) female","(1) white","(01) baptist - any denomination",71,"(09) hs graduate or ged","(2) twice",38,38,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",33
1119781,"(07) 75+",78,"(1) less than high school","(04) 7th or 8th grade","(1) white, non-hispanic","(2) female",2,"(08) $25,000 to $29,999","(1) married","(1) northeast","(2) rented for cash",0,"(5) not working - retired","(0) no","(3) democrat","(03) Catholic","(2) female","(1) white","(03) catholic",72,"(09) hs graduate or ged","(3) three times",33,35,"(1) i earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",45
1123532,"(04) 45-54",53,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",3,"(16) $100,000 to $124,999","(2) widowed","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(4) not working - looking for work","(1) yes","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",56,"(08) 12th grade no diploma","(1) once (this is my first marriage)",21,21,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",32
1124611,"(05) 55-64",61,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(2) female",2,"(12) $50,000 to $59,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(0) no","(3) democrat","(03) Catholic","(1) male","(1) white","(03) catholic",65,"(09) hs graduate or ged","(1) once (this is my first marriage)",19,20,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",42
1127351,"(03) 35-44",35,"(3) some college","(11) associate degree","(1) white, non-hispanic","(1) male",3,"(16) $100,000 to $124,999","(1) married","(4) west","(1) owned or being bought by you or someone in your household",1,"(1) working - as a paid employee","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(03) catholic",31,"(13) master's degree","(1) once (this is my first marriage)",21,25,"(3) partner earned more","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",14
1130254,"(02) 25-34",25,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",5,"(09) $30,000 to $34,999","(4) separated","(4) west","(1) owned or being bought by you or someone in your household",3,"(1) working - as a paid employee","(1) yes","(1) republican","(01) Baptist- any denomination","(1) male","(1) white","(03) catholic",27,"(09) hs graduate or ged","(1) once (this is my first marriage)",17,20,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(6) yes, a different kind of internet service","(3) fair",8
1131421,"(03) 35-44",42,"(4) bachelor's degree or higher","(13) masters degree","(1) white, non-hispanic","(1) male",4,"(13) $60,000 to $74,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",2,"(1) working - as a paid employee","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(2) black or african american","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",42,"(12) bachelor's degree","(1) once (this is my first marriage)",28,30,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",14
1134571,"(05) 55-64",57,"(4) bachelor's degree or higher","(14) professional or doctorate degree","(1) white, non-hispanic","(2) female",2,"(15) $85,000 to $99,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(4) not working - looking for work","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",56,"(12) bachelor's degree","(1) once (this is my first marriage)",19,21,"(3) partner earned more","(2) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",38
1135451,"(04) 45-54",45,"(4) bachelor's degree or higher","(14) professional or doctorate degree","(1) white, non-hispanic","(1) male",5,"(08) $25,000 to $29,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",3,"(2) working - self-employed","(1) yes","(1) republican","(03) Catholic","(2) female","(1) white","(11) other christian",32,"(09) hs graduate or ged","(1) once (this is my first marriage)",32,33,"(2) we earned about the same amount","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(2) good",13
1136341,"(02) 25-34",34,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",3,"(16) $100,000 to $124,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(2) female","(1) white","(03) catholic",39,"(13) master's degree","(1) once (this is my first marriage)",28,32,"(2) we earned about the same amount","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",6
1137461,"(04) 45-54",46,"(1) less than high school","(06) 10th grade","(1) white, non-hispanic","(2) female",2,"(08) $25,000 to $29,999","(1) married","(3) south","(2) rented for cash",0,"(6) not working - disabled","(1) yes","(3) democrat","(11) other Christian","(1) male","(1) white","(09) pentecostal",53,"(05) 9th grade","(2) twice",22,23,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(2) good",24
1138226,"(01) 18-24",22,"(3) some college","(11) associate degree","(1) white, non-hispanic","(2) female",2,"(13) $60,000 to $74,999","(6) living with partner","(3) south","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(1) yes","(1) republican","(13) None","(1) male","(1) white","(13) none",23,"(09) hs graduate or ged","(1) once (this is my first marriage)",19,21,"(3) partner earned more","(1) yes","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",4
